clientID,POS,traitName,traitWgt,metricName,metricWgt,statName,statWgt,inverse
3,R,BALL WINNING,0.2,CONTEST,0.25,Hand Ball Pre Clearance,0.1,0
3,R,BALL WINNING,0.2,CONTEST,0.25,Free For,0.15,0
3,R,BALL WINNING,0.2,CONTEST,0.25,Free For Post Clearance,0.07,0
3,R,BALL WINNING,0.2,CONTEST,0.25,Free For Pre Clearance,0.02,0
3,R,BALL WINNING,0.2,CONTEST,0.25,Crumb,0.02,0
3,R,BALL WINNING,0.2,CONTEST,0.25,Gather,0.02,0
3,R,BALL WINNING,0.2,CONTEST,0.25,Contested Possession,0.45,0
3,R,BALL WINNING,0.2,POWER,0.2,First Possession to Clearance Percentage,0.45,0
3,R,BALL WINNING,0.2,POWER,0.2,Broken Tackle,0.4,0
3,R,BALL WINNING,0.2,POWER,0.2,Contested Possession Rate,0.15,0
3,R,BALL WINNING,0.2,RECEIVES,0.25,Loose Ball Get,0.35,0
